ID,State,Municipality,Municipality - code,Contract Date,Month,Year,Transaction Value in R$,Disbursed Value R$ (*),Interest ,Grace Period (months),Amortization Period (months),CNAE Sector Grouped ,CNAE Subsector ,CNAE Subsector - name ,BNDES Sector ,BNDES Subsector,Client Size,Accredited Financial Institution
95, SC,FRAIBURGO,4205506,2018/12/06,dez.,2018,"279 552,00","279 552,00","4,03","12,00","132,00",Commerce and Services,Commerce,Retail Trade of Pharmaceutical Products (No Compounding),Commerce and Services,Commerce and Services,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
96, RS,ARROIO DO TIGRE,4301206,2018/12/06,dez.,2018,"88 000,00","88 000,00","4,03","3,00","57,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Small,BANCO DO ESTADO DO RIO Large DO SUL SA
97, SC,BLUMENAU,4202404,2018/12/10,dez.,2018,"268 692,00","268 692,00","4,03","12,00","48,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Small,BANCO DO ESTADO DO RIO Large DO SUL SA
98, RS,HORIZONTINA,4309605,2018/12/10,dez.,2018,"91 681,00","91 681,00","4,03","6,00","54,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Small,BANCO DO ESTADO DO RIO Large DO SUL SA
99, PR,SANTO ANTONIO DO SUDOESTE,4124400,2018/12/11,dez.,2018,"160 000,00","160 000,00","4,03","0,00","120,00",Commerce and Services,Land Transport,Road Freight Transport (Except Hazardous Materials),Infrastructure,Road Transport,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
100, PR,REALEZA,4121406,2018/12/13,dez.,2018,"39 418,00","39 418,00","4,03","6,00","114,00",Commerce and Services,Commerce,Retail Trade of IT Equipment and Supplies,Commerce and Services,Commerce and Services,Micro,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
101, PR,MARIPA,4115358,2018/12/13,dez.,2018,"284 850,00","284 850,00","4,03","12,00","108,00",Commerce and Services,Commerce,Supermarkets (General Retail with Predominance of Food Products),Commerce and Services,Commerce and Services,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
102, RS,CERRITO,4305124,2018/12/17,dez.,2018,"114 365,00","114 365,00","4,03","6,00","54,00",Commerce and Services,Commerce,Minimarkets and Grocery Stores,Commerce and Services,Commerce and Services,Small,BANCO DO ESTADO DO RIO Large DO SUL SA
103, SC,XANXERE,4219507,2018/12/17,dez.,2018,"383 200,00","383 200,00","4,03","24,00","120,00",Commerce and Services,Accommodation and Food Services,Hotels,Commerce and Services,Commerce and Services,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
104, RS,CONSTANTINA,4305801,2018/12/17,dez.,2018,"38 068,00","38 068,00","4,03","6,00","138,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Micro,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
105, RS,GUAPORE,4309407,2018/12/19,dez.,2018,"196 000,00","196 000,00","4,03","3,00","57,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,No size,BANCO DO ESTADO DO RIO Large DO SUL SA
106, PR,CIANORTE,4105508,2018/12/19,dez.,2018,"560 000,00","560 000,00","4,03","12,00","72,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
107, RS,DOM FELICIANO,4306502,2018/12/19,dez.,2018,"91 400,00","91 400,00","4,03","3,00","57,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Small,BANCO DO ESTADO DO RIO Large DO SUL SA
108, RS,TUPARENDI,4322301,2018/12/19,dez.,2018,"41 772,00","41 772,00","4,03","6,00","54,00",Commerce and Services,Commerce,Retail Trade of Tires and Inner Tubes,Commerce and Services,Commerce and Services,Small,BANCO DO ESTADO DO RIO Large DO SUL SA
109, PR,CARLOPOLIS,4104709,2018/12/19,dez.,2018,"200 000,00","200 000,00","4,03","3,00","57,00",Commerce and Services,Commerce,Retail Trade of Apparel and Accessories,Commerce and Services,Commerce and Services,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
110, PR,DOIS VIZINHOS,4107207,2018/12/19,dez.,2018,"620 921,00","620 921,00","4,03","12,00","72,00",Manufacturing,Chemicals,Manufacture of Soaps and Synthetic Detergents,Industry,Chemicals and Petrochemicals,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
111, RS,CASEIROS,4304952,2018/12/21,dez.,2018,"31 200,00","31 200,00","4,03","12,00","60,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Micro,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
112, MG,POUSO ALEGRE,3152501,2018/12/21,dez.,2018,"232 000,00","232 000,00","4,03","12,00","48,00",Commerce and Services,Commerce,Wholesale of Veterinary Medicines,Commerce and Services,Commerce and Services,Small,BANCO DE DESENVOLVIMENTO DE MINAS GERAIS SA - BDMG
113, PR,MARINGA,4115200,2018/12/21,dez.,2018,"180 000,00","180 000,00","4,03","12,00","108,00",Manufacturing,Beverages,Beer Production,Industry,Food and Beverages,Micro,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
114, MG,CAPITAO ENEAS,3112703,2018/12/26,dez.,2018,"18 196 000,00","18 196 000,00","4,03","24,00","120,00",Commerce and Services,"Real Estate, Professional and Administrative Activities",Rental of Machinery and Equipment Without Operator (Not Elsewhere Classified),Commerce and Services,Commerce and Services,Small,BANCO DE DESENVOLVIMENTO DE MINAS GERAIS SA - BDMG
115, SC,VIDEIRA,4219309,2018/12/28,dez.,2018,"250 000,00","250 000,00","4,03","6,00","54,00",Commerce and Services,"Arts, Culture and Sports",Fitness Activities,Commerce and Services,Commerce and Services,Small,BANCO DO ESTADO DO RIO Large DO SUL SA
116, ES,SERRA,3205002,2018/12/28,dez.,2018,"278 238,00","278 238,00","4,03","6,00","30,00",Manufacturing,Non-metallic Minerals,Manufacture of Precast Reinforced Concrete Structures,Industry,Others,Small,BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO
117, SC,TUBARAO,4218707,2018/12/28,dez.,2018,"380 000,00","380 000,00","4,03","6,00","54,00",Manufacturing,Apparel and Accessories,Manufacture of Apparel (Except Underwear and Custom-Made),Industry,Textiles and Clothing,Small,BANCO DO ESTADO DO RIO Large DO SUL SA
118, PR,NOVA SANTA ROSA,4117222,2019/01/03,jan.,2019,"57 512,00","57 512,00","4,03","6,00","84,00",Commerce and Services,Commerce,Retail Trade of Household Appliances and Audio-Video Equipment,Commerce and Services,Commerce and Services,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
119, RS,MIRAGUAI,4312302,2019/01/03,jan.,2019,"39 200,00","39 200,00","4,03","6,00","54,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Small,BANCO DO ESTADO DO RIO Large DO SUL SA
120, PR,SANTO ANTONIO DO SUDOESTE,4124400,2019/01/04,jan.,2019,"200 000,00","200 000,00","4,03","0,00","120,00",Manufacturing,Rubber and Plastics,Retreading of Used Tires,Industry,Others,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
121, RS,PALMITINHO,4313805,2019/01/08,jan.,2019,"444 800,00","444 800,00","4,03","24,00","120,00",Commerce and Services,Information and Communication,Radio Broadcasting Activities,Commerce and Services,Commerce and Services,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
122, SC,PRESIDENTE NEREU,4214102,2019/01/08,jan.,2019,"66 441,00","66 441,00","4,03","12,00","120,00",Manufacturing,Apparel and Accessories,Manufacture of Apparel (Except Underwear and Custom-Made),Industry,Textiles and Clothing,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
123, RS,CRUZ ALTA,4306106,2019/01/08,jan.,2019,"55 623,00","55 623,00","4,03","6,00","54,00",Commerce and Services,Commerce,Minimarkets and Grocery Stores,Commerce and Services,Commerce and Services,Micro,BANCO DO ESTADO DO RIO Large DO SUL SA
124, RS,CAPELA DE SANTANA,4304689,2019/01/08,jan.,2019,"312 263,00","312 263,00","4,03","6,00","54,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Small,BANCO DO ESTADO DO RIO Large DO SUL SA
125, SC,FORMOSA DO SUL,4205431,2019/01/08,jan.,2019,"37 096,00","37 096,00","4,03","24,00","120,00",Commerce and Services,Commerce,Retail Trade of IT Equipment and Supplies,Commerce and Services,Commerce and Services,Micro,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
126, PR,FRANCISCO BELTRAO,4108403,2019/01/10,jan.,2019,"222 400,00","222 400,00","4,03","6,00","90,00",Commerce and Services,Commerce,Bakery and Confectionery (Resale-Based),Commerce and Services,Commerce and Services,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
127, SC,TUBARAO,4218707,2019/01/10,jan.,2019,"70 931,00","70 931,00","4,03","6,00","54,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Micro,BANCO DO ESTADO DO RIO Large DO SUL SA
128, SC,MONDAI,4211009,2019/01/15,jan.,2019,"96 000,00","96 000,00","4,03","24,00","96,00",Manufacturing,Non-metallic Minerals,Manufacture of Ceramic and Clay Products for Construction (Except Tiles and Bricks),Industry,Others,Micro,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
129, MG,BELO HORIZONTE,3106200,2019/01/15,jan.,2019,"18 931,00","18 903,00","4,03","3,00","57,00",Commerce and Services,Construction,Building Construction,Commerce and Services,Commerce and Services,Small,BANCO DE DESENVOLVIMENTO DE MINAS GERAIS SA - BDMG
130, MG,SARDOA,3165503,2019/01/15,jan.,2019,"307 692,00","307 692,00","4,03","3,00","57,00",Commerce and Services,Commerce,Supermarkets (General Retail with Predominance of Food Products),Commerce and Services,Commerce and Services,Small,BANCO DE DESENVOLVIMENTO DE MINAS GERAIS SA - BDMG
131, RS,ENCANTADO,4306809,2019/01/15,jan.,2019,"240 772,00","240 772,00","4,03","6,00","54,00",Commerce and Services,Information and Communication,Radio Broadcasting Activities,Commerce and Services,Commerce and Services,Small,BANCO DO ESTADO DO RIO Large DO SUL SA
132, MG,UBERLANDIA,3170206,2019/01/15,jan.,2019,"104 515,00","104 436,00","4,03","3,00","57,00",Commerce and Services,Commerce,Minimarkets and Grocery Stores,Commerce and Services,Commerce and Services,Small,BANCO DE DESENVOLVIMENTO DE MINAS GERAIS SA - BDMG
133, SC,FRAIBURGO,4205506,2019/01/15,jan.,2019,"78 439,00","78 439,00","4,03","12,00","120,00",Commerce and Services,Commerce,Retail Trade of Pharmaceutical Products (No Compounding),Commerce and Services,Commerce and Services,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
134, SC,AGRONOMICA,4200309,2019/01/22,jan.,2019,"53 255,00","53 255,00","4,03","12,00","108,00",Manufacturing,Apparel and Accessories,Apparel Finishing Services (Except Underwear),Industry,Textiles and Clothing,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
135, PR,PLANALTO,4119806,2019/01/30,jan.,2019,"60 000,00","60 000,00","4,03","6,00","57,00",Commerce and Services,Commerce,Minimarkets and Grocery Stores,Commerce and Services,Commerce and Services,Micro,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
136, SC,CONCORDIA,4204301,2019/02/01,fev.,2019,"132 775,00","132 775,00","4,03","6,00","54,00",Commerce and Services,Commerce,Minimarkets and Grocery Stores,Commerce and Services,Commerce and Services,Small,BANCO DO ESTADO DO RIO Large DO SUL SA
137, PR,SANTO ANTONIO DO SUDOESTE,4124400,2019/02/04,fev.,2019,"60 000,00","60 000,00","4,03","0,00","120,00",Commerce and Services,Commerce,Retail Trade of Apparel and Accessories,Commerce and Services,Commerce and Services,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
138, PR,SANTO ANTONIO DO SUDOESTE,4124400,2019/02/04,fev.,2019,"114 000,00","114 000,00","4,03","0,00","120,00",Manufacturing,Apparel and Accessories,Manufacture of Apparel (Except Underwear and Custom-Made),Industry,Textiles and Clothing,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
139, PR,CAMPO MOURAO,4104303,2019/02/07,fev.,2019,"88 243,00","88 243,00","4,03","12,00","84,00",Commerce and Services,Health and social services,Outpatient Medical Practice (Consultation-Based),Commerce and Services,Commerce and Services,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
140, RS,GUAPORE,4309407,2019/02/07,fev.,2019,"39 968,00","39 968,00","4,03","6,00","66,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
141, RS,SAO VALERIO DO SUL,4319737,2019/02/07,fev.,2019,"70 920,00","70 920,00","4,03","12,00","72,00",Manufacturing,Food Products,Manufacture of Bakery and Confectionery Products,Industry,Food and Beverages,Micro,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
142, RS,CHAPADA,4305306,2019/02/07,fev.,2019,"113 680,00","113 680,00","4,03","6,00","54,00",Manufacturing,Apparel and Accessories,Manufacture of Apparel (Except Underwear and Custom-Made),Industry,Textiles and Clothing,Small,BANCO DO ESTADO DO RIO Large DO SUL SA
143, SC,QUILOMBO,4214201,2019/02/07,fev.,2019,"58 000,00","58 000,00","4,03","3,00","117,00",Commerce and Services,Commerce,Minimarkets and Grocery Stores,Commerce and Services,Commerce and Services,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
144, SC,NOVO HORIZONTE,4211652,2019/02/12,fev.,2019,"154 800,00","154 800,00","4,03","6,00","117,00",Commerce and Services,Construction,Building Construction,Commerce and Services,Commerce and Services,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
145, MG,FRUTAL,3127107,2019/02/12,fev.,2019,"147 993,00","147 882,00","4,03","3,00","57,00",Commerce and Services,Accommodation and Food Services,Restaurants and Similar Establishments,Commerce and Services,Commerce and Services,Small,BANCO DE DESENVOLVIMENTO DE MINAS GERAIS SA - BDMG
146, SC,BOM JESUS DO OESTE,4202578,2019/02/18,fev.,2019,"503 200,00","503 200,00","4,03","24,00","120,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
147, PR,SANTO ANTONIO DO SUDOESTE,4124400,2019/02/18,fev.,2019,"103 600,00","103 600,00","4,03","3,00","120,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Micro,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
148, SC,TUBARAO,4218707,2019/02/18,fev.,2019,"112 000,00","112 000,00","4,03","6,00","54,00",Commerce and Services,Commerce,Minimarkets and Grocery Stores,Commerce and Services,Commerce and Services,Small,BANCO DO ESTADO DO RIO Large DO SUL SA
149, SC,TUBARAO,4218707,2019/02/19,fev.,2019,"43 200,00","43 200,00","4,03","6,00","54,00",Commerce and Services,Commerce,Minimarkets and Grocery Stores,Commerce and Services,Commerce and Services,Small,BANCO DO ESTADO DO RIO Large DO SUL SA
150, SC,FAXINAL DOS GUEDES,4205308,2019/02/22,fev.,2019,"124 981,00","124 981,00","4,03","12,00","120,00",Commerce and Services,Commerce,Minimarkets and Grocery Stores,Commerce and Services,Commerce and Services,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
151, SC,ITUPORANGA,4208500,2019/02/22,fev.,2019,"118 114,00","118 114,00","4,03","6,00","117,00",Manufacturing,Wood,Wood Resawing,Industry,Others,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
152, PR,CARLOPOLIS,4104709,2019/02/26,fev.,2019,"270 400,00","270 400,00","4,03","3,00","57,00",Commerce and Services,Commerce,Supermarkets (General Retail with Predominance of Food Products),Commerce and Services,Commerce and Services,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
153, PR,FRANCISCO BELTRAO,4108403,2019/02/28,fev.,2019,"271 980,00","271 980,00","4,03","12,00","108,00",Manufacturing,Rubber and Plastics,Manufacture of Rubber Products (Not Elsewhere Classified),Industry,Others,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
154, PR,SAO PEDRO DO IGUACU,4125753,2019/03/01,mar.,2019,"29 949,00","29 949,00","4,03","6,00","138,00",Commerce and Services,Commerce,Retail Trade of Motor Vehicle Parts and Accessories,Commerce and Services,Commerce and Services,Micro,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
155, SC,PINHALZINHO,4212908,2019/03/15,mar.,2019,"161 954,00","161 954,00","4,03","24,00","120,00",Manufacturing,Food Products,Meat Processing,Industry,Food and Beverages,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
156, RS,ARROIO DO MEIO,4301008,2019/03/15,mar.,2019,"61 039,00","61 039,00","4,03","6,00","54,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Small,BANCO DO ESTADO DO RIO Large DO SUL SA
157, SC,VIDEIRA,4219309,2019/03/18,mar.,2019,"39 031,00","39 031,00","4,03","12,00","132,00",Commerce and Services,Commerce,Retail Trade of Electrical Materials,Commerce and Services,Commerce and Services,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
158, PR,PONTA GROSSA,4119905,2019/03/20,mar.,2019,"1 197 600,00","1 197 600,00","4,03","6,00","114,00",Manufacturing,Rubber and Plastics,Manufacture of Plastic Packaging,Industry,Others,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
159, SC,PRAIA Large,4213807,2019/03/21,mar.,2019,"148 000,00","148 000,00","4,03","3,00","93,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
160, SC,QUILOMBO,4214201,2019/03/21,mar.,2019,"67 848,00","67 848,00","4,03","6,00","138,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
161, RS,TRES ARROIOS,4321634,2019/03/22,mar.,2019,"50 463,00","50 463,00","4,03","12,00","132,00",Commerce and Services,Commerce,Minimarkets and Grocery Stores,Commerce and Services,Commerce and Services,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
162, SC,SAO LOURENCO DO OESTE,4216909,2019/03/27,mar.,2019,"142 240,00","142 240,00","4,03","3,00","120,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
163, SC,MARAVILHA,4210506,2019/03/27,mar.,2019,"66 800,00","66 800,00","4,03","6,00","114,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Micro,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
164, PR,RONDON,4122602,2019/03/27,mar.,2019,"134 953,00","134 953,00","4,03","24,00","120,00",Commerce and Services,Electricity and Gas,Electric Power Generation from Alternative Sources,Infrastructure,Electric Power,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
165, SC,VIDEIRA,4219309,2019/03/28,mar.,2019,"86 603,00","86 603,00","4,03","6,00","54,00",Manufacturing,Wood,Manufacture of Wooden Packaging and Cooperage Products,Industry,Others,Small,BANCO DO ESTADO DO RIO Large DO SUL SA
166, RS,SANANDUVA,4316600,2019/03/29,mar.,2019,"177 600,00","177 600,00","4,03","24,00","120,00",Commerce and Services,Commerce,Retail Trade of Motor Vehicle Parts and Accessories,Commerce and Services,Commerce and Services,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
167, MG,ARAGUARI,3103504,2019/04/04,abr.,2019,"313 545,00","307 325,00","4,03","3,00","57,00",Commerce and Services,Health and social services,Diagnostic Imaging Services Using Ionizing Radiation,Commerce and Services,Commerce and Services,Small,BANCO DE DESENVOLVIMENTO DE MINAS GERAIS SA - BDMG
168, MG,BELO HORIZONTE,3106200,2019/04/04,abr.,2019,"250 383,00","199 994,00","4,03","3,00","57,00",Commerce and Services,Accommodation and Food Services,Restaurants and Similar Establishments,Commerce and Services,Commerce and Services,Small,BANCO DE DESENVOLVIMENTO DE MINAS GERAIS SA - BDMG
169, SC,RIO DO CAMPO,4214508,2019/04/08,abr.,2019,"83 426,00","83 426,00","4,03","3,00","141,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
170, PR,RIO NEGRO,4122305,2019/04/09,abr.,2019,"114 007,00","114 007,00","4,03","3,00","72,00",Manufacturing,Food Products,Manufacture of Pasta Products,Industry,Food and Beverages,Micro,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
171, SC,LEOBERTO LEAL,4209805,2019/04/09,abr.,2019,"84 100,00","84 100,00","4,03","6,00","138,00",Commerce and Services,Commerce,Retail Trade of Automotive Fuels,Commerce and Services,Commerce and Services,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
172, SC,SANTA ROSA DE LIMA,4215604,2019/04/09,abr.,2019,"118 516,00","118 516,00","4,03","6,00","138,00",Manufacturing,Wood,Wood Resawing,Industry,Others,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
173, RS,SAO LOURENCO DO SUL,4318804,2019/04/09,abr.,2019,"304 000,00","304 000,00","4,03","6,00","114,00",Commerce and Services,Commerce,Retail Trade of Beverages,Commerce and Services,Commerce and Services,Small,BANCO DO ESTADO DO RIO Large DO SUL SA
174, RS,TRES ARROIOS,4321634,2019/04/09,abr.,2019,"69 379,00","69 379,00","4,03","12,00","132,00",Commerce and Services,Commerce,Retail Trade of Meat (Butcher Shops),Commerce and Services,Commerce and Services,Micro,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
175, MG,UBERLANDIA,3170206,2019/04/11,abr.,2019,"194 618,00","194 472,00","4,03","3,00","57,00",Commerce and Services,Commerce,Minimarkets and Grocery Stores,Commerce and Services,Commerce and Services,Small,BANCO DE DESENVOLVIMENTO DE MINAS GERAIS SA - BDMG
176, SC,BOM JESUS DO OESTE,4202578,2019/04/11,abr.,2019,"77 440,00","77 440,00","4,03","6,00","138,00",Commerce and Services,Commerce,Minimarkets and Grocery Stores,Commerce and Services,Commerce and Services,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
177, MG,UBERLANDIA,3170206,2019/04/11,abr.,2019,"365 803,00","364 979,00","4,03","3,00","57,00",Commerce and Services,Accommodation and Food Services,Bars and Beverage-Serving Establishments (No Entertainment),Commerce and Services,Commerce and Services,Small,BANCO DE DESENVOLVIMENTO DE MINAS GERAIS SA - BDMG
178, MG,LAGOA SANTA,3137601,2019/04/11,abr.,2019,"33 311,00","31 662,00","4,03","3,00","57,00",Commerce and Services,Commerce,Commercial Representatives for General Goods (Non-Specialized),Commerce and Services,Commerce and Services,Small,BANCO DE DESENVOLVIMENTO DE MINAS GERAIS SA - BDMG
179, RS,DOIS IRMAOS,4306403,2019/04/11,abr.,2019,"150 000,00","150 000,00","4,03","6,00","54,00",Manufacturing,Food Products,Manufacture of Biscuits and Cookies,Industry,Food and Beverages,Small,BANCO DO ESTADO DO RIO Large DO SUL SA
180, SC,JACINTO MACHADO,4208708,2019/04/12,abr.,2019,"78 123,00","78 123,00","4,03","3,00","117,00",Commerce and Services,Health and social services,Social Assistance Services (Not Elsewhere Classified),Commerce and Services,Commerce and Services,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
181, PR,REALEZA,4121406,2019/04/22,abr.,2019,"111 840,00","111 840,00","4,03","6,00","114,00",Commerce and Services,Accommodation and Food Services,Hotels,Commerce and Services,Commerce and Services,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
182, SC,PALMITOS,4212106,2019/04/22,abr.,2019,"175 872,00","175 872,00","4,03","12,00","108,00",Commerce and Services,"Water, Sewage and Waste Management",Water Supply and Treatment,Infrastructure,Public utility service,Micro,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
183, PR,PLANALTO,4119806,2019/04/22,abr.,2019,"125 000,00","125 000,00","4,03","6,00","72,00",Commerce and Services,Commerce,Retail Trade of Dairy Products and Cold Cuts,Commerce and Services,Commerce and Services,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
184, PR,CASCAVEL,4104808,2019/04/22,abr.,2019,"33 883,00","33 883,00","4,03","6,00","120,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
185, PR,GOIOXIM,4108650,2019/04/26,abr.,2019,"76 000,00","76 000,00","4,03","6,00","72,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
186, SC,JARDINOPOLIS,4208955,2019/04/30,abr.,2019,"296 640,00","296 640,00","4,03","6,00","120,00",Commerce and Services,Commerce,Retail Trade of Electrical Materials,Commerce and Services,Commerce and Services,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
187, PR,SAO MATEUS DO SUL,4125605,2019/04/30,abr.,2019,"110 622,00","110 622,00","4,03","18,00","60,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
188, RS,CANGUCU,4304507,2019/05/10,mai.,2019,"11 200,00","11 200,00","4,03","6,00","54,00",Commerce and Services,Land Transport,Municipal Road Freight Transport (Except Hazardous Materials and Moving Services),Infrastructure,Road Transport,Micro,BANCO DO ESTADO DO RIO Large DO SUL SA
189, PR,MARIPA,4115358,2019/05/10,mai.,2019,"41 600,00","41 600,00","4,03","6,00","138,00",Commerce and Services,Commerce,Retail Trade of Apparel and Accessories,Commerce and Services,Commerce and Services,Micro,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
190, SC,GUARACIABA,4206405,2019/05/13,mai.,2019,"172 000,00","172 000,00","4,03","24,00","120,00",Manufacturing,Wood,"Manufacture of Wood Products, Except Furniture",Industry,Others,Micro,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
191, PR,VERE,4128609,2019/05/17,mai.,2019,"94 965,00","94 965,00","4,03","6,00","114,00",Manufacturing,Food Products,Manufacture of Bakery and Confectionery Products,Industry,Food and Beverages,Micro,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
192, PR,SAO JORGE D'OESTE,4125209,2019/05/17,mai.,2019,"174 070,00","174 070,00","4,03","6,00","60,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Micro,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
193, RS,CONSTANTINA,4305801,2019/05/22,mai.,2019,"313 600,00","313 600,00","4,03","6,00","138,00",Manufacturing,Wood,Wood Resawing,Industry,Others,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
